ID,Date,Period,Site,Transect,Morphogroup,Family,Genus,Notes,
2Chp13,0022-07-25,3,Chipman1,1,OLB,Andrenidae,Andrena,,
31Chp33,0022-07-25,3,Chipman1,3,OLB,Andrenidae,Andrena,,
75Chp33,0022-07-25,3,Chipman1,3,SB,Andrenidae,Andrena,,
1Hut33,0022-07-20,3,Hutchins,3,OLB,Andrenidae,Andrena,,
1Hut43,0022-07-20,3,Hutchins,4,OLB,Andrenidae,Andrena,,
2Span33,0022-08-02,3,Spangle,3,OLB,Andrenidae,Andrena,,
3Span33,0022-08-02,3,Spangle,3,OLB,Andrenidae,Andrena,,
1Aso13,0022-07-21,3,Asotin,1,OLB,Andrenidae,Andrena,,
5Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
6Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
7Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
8Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
9Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
10Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
11Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
12Aso43,0022-07-21,3,Asotin,4,OLB,Andrenidae,Andrena,,
15Aso43,0022-07-21,3,Asotin,4,SB,Andrenidae,Andrena,,
16Aso43,0022-07-21,3,Asotin,4,SB,Andrenidae,Andrena,,
17Aso43,0022-07-21,3,Asotin,4,SB,Andrenidae,Andrena,,
18Aso43,0022-07-21,3,Asotin,4,SB,Andrenidae,Andrena,,
19Aso43,0022-07-21,3,Asotin,4,SB,Andrenidae,Andrena,,
20Aso43,0022-07-21,3,Asotin,4,SB,Andrenidae,Andrena,,
21Aso43,0022-07-21,3,Asotin,4,SB,Andrenidae,Andrena,,
2Chp12,0022-07-05,2,Chipman1,1,SB,Andrenidae,Andrena,,
11Chp32,0022-07-05,2,Chipman1,3,OLB,Andrenidae,Andrena,,
12Chp32,0022-07-05,2,Chipman1,3,OLB,Andrenidae,Andrena,,
14Chp32,0022-07-05,2,Chipman1,3,SB,Andrenidae,Andrena,,
15Chp32,0022-07-05,2,Chipman1,3,SB,Andrenidae,Andrena,,
16Chp32,0022-07-05,2,Chipman1,3,SB,Andrenidae,Andrena,,
17Chp32,0022-07-05,2,Chipman1,3,SB,Andrenidae,Andrena,,
1Chp42,0022-07-05,2,Chipman1,4,OLB,Andrenidae,Andrena,,
11Chp42,0022-07-05,2,Chipman1,4,OLB,Andrenidae,Andrena,,
12Chp42,0022-07-05,2,Chipman1,4,OLB,Andrenidae,Andrena,,
13Chp42,0022-07-05,2,Chipman1,4,SB,Andrenidae,Andrena,,
14Chp42,0022-07-05,2,Chipman1,4,SB,Andrenidae,Andrena,,
15Chp42,0022-07-05,2,Chipman1,4,SB,Andrenidae,Andrena,,
16Chp42,0022-07-05,2,Chipman1,4,SB,Andrenidae,Andrena,,
5Kam12,0022-06-30,2,Kamiak,1,OLB,Andrenidae,Andrena,,
2Kam22,0022-06-30,2,Kamiak,2,OLB,Andrenidae,Andrena,,
6Kam22,0022-06-30,2,Kamiak,2,OLB,Andrenidae,Andrena,,
7Kam22,0022-06-30,2,Kamiak,2,OLB,Andrenidae,Andrena,,
8Kam22,0022-06-30,2,Kamiak,2,OLB,Andrenidae,Andrena,,
9Kam22,0022-06-30,2,Kamiak,2,OLB,Andrenidae,Andrena,,
10Kam22,0022-06-30,2,Kamiak,2,OLB,Andrenidae,Andrena,,
7Kam32,0022-06-30,2,Kamiak,3,OLB,Andrenidae,Andrena,,
8Kam32,0022-06-30,2,Kamiak,3,OLB,Andrenidae,Andrena,,
9Kam32,0022-06-30,2,Kamiak,3,SB,Andrenidae,Andrena,,
4Kam42,0022-06-30,2,Kamiak,4,OLB,Andrenidae,Andrena,,
2Aso12,0022-06-29,2,Asotin,1,OLB,Andrenidae,Andrena,,
3Aso12,0022-06-29,2,Asotin,1,OLB,Andrenidae,Andrena,,
4Aso12,0022-06-29,2,Asotin,1,OLB,Andrenidae,Andrena,,
5Aso12,0022-06-29,2,Asotin,1,OLB,Andrenidae,Andrena,,
6Aso12,0022-06-29,2,Asotin,1,OLB,Andrenidae,Andrena,,
7Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
8Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
11Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
12Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
14Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
15Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
16Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
17Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
