,Site,PDI
1,Asotin,0.54526426
2,Chipman1,0.772025884
3,Chipman2,1
4,Clark1,0.890160942
5,Clark2,0.930645429
6,Hutchins,0.752970607
7,Kamiak,0.828936453
9,Plaza,1
8,Smoot,0.902439024
10,Spangle,0.974358974
