Site,PDI,Stability
Asotin,0.54526426,1.532853914
Chipman1,0.772025884,2.647720023
Chipman2,1,0.636223055
Clark1,0.890160942,1.00393528
Clark2,0.930645429,2.201398157
Hutchins,0.752970607,3.078963918
Kamiak,0.828936453,2.51629956
Plaza,1,1.732050808
Smoot,0.902439024,1.024826929
Spangle,0.974358974,1.123288468
