Site,PDI,Stability
Asotin,0.625,0.128336074
Chipman1,1,0.157585245
Chipman2,0.992,0.216745748
Clark1,1,1.023907758
Clark2,1,0.255066156
Hutchins,1,0.143784269
Kamiak,1,0.222983244
Plaza,1,0.12191071
Smoot,1,0.19781579
Spangle,1,0.1417567
