"","Site","Amount"
"1","Asotin",136
"2","Chipman1",588
"3","Chipman2",283
"4","Clark1",189
"5","Clark2",257
"6","Hutchins",266
"7","Kamiak",302
"8","Smoot",262
"9","TurnbullPlaza",798
"10","TurnbullSpangle",265
