Date,Period,Site,CollectedBy,Type,Transect,CommonName,Family ,Genus,Species,Amount ,FloralUnits,Pressed,Notes,HerbariumNumber,inatEntry
7/8/2022,PeakBloom,Smoot,OS,Herb,3,yarrow,Asteraceae,Achillea,millefolium,1,4,no,,,
7/8/2022,PeakBloom,Smoot,OS,Herb,4,yarrow,Asteraceae,Achillea,millefolium,1,3,no,,,
7/8/2022,PeakBloom,Smoot,OS,Herb,2,silky lupine,Fabaceae,Lupinus,sericeus,2,4,no,,,
7/8/2022,PeakBloom,Smoot,OS,Woody,4,Sweet Brier,Rosaceae,Rosa,rubiginosa,2,NA,yes,possibly woods rose?,60,
7/8/2022,PeakBloom,Smoot,OS,Herb,3,sticky geranium,Geraniaceae,Geranium,viscosissimum,3,1,no,,,
7/8/2022,PeakBloom,Smoot,OS,Herb,1,yarrow,Asteraceae,Achillea,millefolium,10,15,no,,,
7/8/2022,PeakBloom,Smoot,OS,Woody,2,snowberry ,Caprifoliaceae,Symphoricarpos,albus,13,NA,no,,,
7/8/2022,PeakBloom,Smoot,OS,Herb,1,silky lupine,Fabaceae,Lupinus,sericeus,27,13,no,,,
7/8/2022,PeakBloom,Smoot,OS,Woody,1,snowberry ,Caprifoliaceae,Symphoricarpos,albus,37,NA,no,full bloom,,
7/8/2022,PeakBloom,Smoot,OS,Woody,4,snowberry ,Caprifoliaceae,Symphoricarpos,albus,43,NA,no,,,
6/17/2022,PreBloom,Smoot,OS,Herb,3,Cinquefoil,Rosaceae,Potentilla,gracilis,1,1,yes,,70,
6/17/2022,PreBloom,Smoot,OS,Herb,3,Sticky cinquefoil,Rosaceae,Drymocallis,glandulosa,1,1,no,,,
6/17/2022,PreBloom,Smoot,OS,Herb,3,Large-flower triteleia,Liliaceae,Triteleia,grandiflora,1,1,no,,,
6/17/2022,PreBloom,Smoot,OS,Herb,3,Sticky geranium,Geraniaceae,Geranium,viscosissimum,2,3,no,,,
6/17/2022,PreBloom,Smoot,OS,Herb,3,Prairie smoke,Rosaceae,Geum,triflorum,2,18,no,,,
6/17/2022,PreBloom,Smoot,OS,Herb,3,Death camas,Melanthiaceae,Toxicoscordion,paniculatum,2,2,yes,,71,
6/17/2022,PreBloom,Smoot,OS,Herb,1,Lupine,Fabaceae,Lupinus,argentus,7,2,yes,velvet or silky,68,
6/17/2022,PreBloom,Smoot,OS,Herb,4,Phlox,Polemoniaceae,Phlox,speciosa,11,11,no,see TR 2 specimen,,
6/17/2022,PreBloom,Smoot,OS,Herb,2,Phlox,Polemoniaceae,Phlox,speciosa,21,86,no,"inat photo, showy or longles",,Yes
6/17/2022,PreBloom,Smoot,OS,Herb,3,Phlox,Polemoniaceae,Phlox,speciosa,26,83,no,see TR 2specimen,,
8/2/2022,DeclineBloom,TurnbullPlaza,OS,Herb,3,Panicled Willowherb,Onagraceae,Epilobium,brachycarpum,1,3,yes,inat pic,,Yes
8/2/2022,DeclineBloom,TurnbullPlaza,OS,Herb,3,Queen Annes Lace,Apiaceae,Daucus,carota,3,6,yes,carrot? inat pic,73,Yes
7/6/2022,PeakBloom,TurnbullPlaza,MC,Herb,1,larkspur,Ranunculaceae,Delphinium,sp,4,4,no,,,
7/6/2022,PeakBloom,TurnbullPlaza,MC,Herb,4,slender cinquefoil,Rosaceae,Potentilla,gracilis,4,4,,,,
7/6/2022,PeakBloom,TurnbullPlaza,MC,Herb,3,slender cinquefoil,Rosaceae,Potentilla,gracilis,7,10,,,,
7/6/2022,PeakBloom,TurnbullPlaza,MC,Herb,2,larkspur,Ranunculaceae,Delphinium,sp,12,12,no,,,
7/6/2022,PeakBloom,TurnbullPlaza,MC,Herb,4,hairy vetch,Fabaceae,Vicia,villosa,16,110,,,,
7/6/2022,PeakBloom,TurnbullPlaza,MC,Herb,3,hairy vetch,Fabaceae,Vicia,villosa,24,203,,,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,3,Low larkspur,Ranunculaceae,Delphinium,nuttallianum,2,2,no,,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,3,small-flowered blue-eyed mary,Plantaginaceae,Collinsia,parviflora,3,4,no,,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,3,Hairy Prairie Fire,Orobanchaceae,Castilleja,tenuis,3,5,yes,tiny white,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,4,Twin arnica,Asteraceae,Arnica,sororia,3,5,yes,,37,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,4,forget-me-not,Boraginaceae,Myosotis,laxa,4,4,yes,forget-me-nots,35,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,4,small-flowered blue-eyed mary,Plantaginaceae,Collinsia,parviflora,11,11,no,,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,4,Slender phlox,Polemoniaceae,Microsteris,gracilis,11,11,no,tiny pink phlox,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,3,Nodding onion,Amaryllidaceae,Allium,acuminatum,12,12,no,,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,3,Slender phlox,Polemoniaceae,Microsteris,gracilis,13,24,yes,tiny pink phlox,36,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,2,Death camas,Melanthiaceae,Toxicoscordion,venenosum,21,16,yes,subtracted un-bloomed from units,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,4,Hairy Vetch,Fabaceae,Vicia,villosa,50,5,no,most unopened,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,4,Catchweed,Rubiaceae,Galium,aparine,70,70,no,,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,1,Nodding onion,Amaryllidaceae,Allium,acuminatum,245,245,no,,,
6/9/2022,PreBloom,TurnbullPlaza,OS,Herb,2,Nodding onion,Amaryllidaceae,Allium,acuminatum,279,265,yes,subtracted un-bloomed from units,,
8/2/2022,DeclineBloom,TurnbullSpangle,OS,Herb,1,yarrow,Asteraceae,Achillea,millefolium,1,2,no,,,
8/2/2022,DeclineBloom,TurnbullSpangle,OS,Herb,2,yarrow,Asteraceae,Achillea,millefolium,1,2,no,,,
8/2/2022,DeclineBloom,TurnbullSpangle,OS,Herb,3,Spanish clover,Fabaceae,Acmispon,americanus,7,2,yes,tiny pink vine,,
7/6/2022,PeakBloom,TurnbullSpangle,OS,Herb,1,silky lupine,Fabaceae,Lupinus,sericeus,1,2,yes,,59.5,
7/6/2022,PeakBloom,TurnbullSpangle,OS,Herb,2,silky lupine,Fabaceae,Lupinus,sericeus,1,2,no,see TR 2,,
7/6/2022,PeakBloom,TurnbullSpangle,OS,Herb,1,yarrow,Asteraceae,Achillea,millefolium,6,22,no,,,
7/6/2022,PeakBloom,TurnbullSpangle,OS,Herb,1,hookers onion,Amaryllidaceae,Allium,acuminatum,6,6,no,,,
7/6/2022,PeakBloom,TurnbullSpangle,OS,Herb,1,slender cinquefoil,Rosaceae,Potentilla,gracilis,7,14,no,,,
7/6/2022,PeakBloom,TurnbullSpangle,OS,Herb,2,Grassy tarweed,Asteraceae,Madia,gracilis,9,16,no,inat. photo,,Yes
7/6/2022,PeakBloom,TurnbullSpangle,OS,Herb,1,Grassy tarweed,Asteraceae,Madia,gracilis,1,,,,,
6/9/2022,PreBloom,TurnbullSpangle,ML,Herb,1,Lupine,Fabaceae,Lupinus,sp,1,3,no,,,
6/9/2022,PreBloom,TurnbullSpangle,OS,Woody,4,Choke cherry,Rosaceae,Prunus,virginiana,2,NA,no,,,
6/9/2022,PreBloom,TurnbullSpangle,ML,Herb,1,Slender phlox,Polemoniaceae,Microsteris,gracilis,3,3,no,,,
6/9/2022,PreBloom,TurnbullSpangle,ML,Herb,2,Nodding onion,Amaryllidaceae,Allium,acuminatum,16,16,no,,,
6/9/2022,PreBloom,TurnbullSpangle,OS,Herb,4,forget-me-not,Boraginaceae,Myosotis,laxa,17,17,yes,,38,
6/9/2022,PreBloom,TurnbullSpangle,ML,Herb,3,Nodding onion,Amaryllidaceae,Allium,acuminatum,65,65,no,,,
6/9/2022,PreBloom,TurnbullSpangle,OS,Herb,4,Parsnip flower buckwheat,Polygonaceae,Eriogonum,heracleoides,121,121,yes,34,,
