"","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p","Effects","Group"
"1","(Intercept)",2.29360809969416,0.291907120993788,0.95,1.72112731394825,2.86608888544008,7.85732150653143,1961,6.4143466361672e-15,"fixed",""
"2","in_canolayes",0.30047438657712,0.0333142840013261,0.95,0.235139264169991,0.365809508984249,9.01938599566358,1961,4.38677504141878e-19,"fixed",""
"3","propCan2km",-0.354352037114495,0.316706025467058,0.95,-0.975467800555243,0.266763726326252,-1.11886736790662,1961,0.263333759305692,"fixed",""
"4","in_canolayes:propCan2km",-0.848196011152638,0.226301006948808,0.95,-1.29201176265636,-0.404380259648918,-3.74808765806558,1961,0.000183344738002041,"fixed",""
"5","SD (Intercept)",0.964100573481094,NA,0.95,NA,NA,NA,NA,NA,"random","genus"
"6","SD (propCan2km)",0.894238069400172,NA,0.95,NA,NA,NA,NA,NA,"random","genus"
"7","Cor (Intercept~propCan2km)",-0.73558521607272,NA,0.95,NA,NA,NA,NA,NA,"random","genus"
"8","SD (Observations)",0.401896614704715,NA,0.95,NA,NA,NA,NA,NA,"random","Residual"
