site,latitude,longitude,lat_long
Aso_c,46.25037,-117.26272,46.25037,-117.26272
Hutch_c,46.38152,-117.87861,46.38152,-117.87861
OD_c,46.76809,-117.04099,46.76809,-117.04099
Clark1_c,46.82887,-117.14836,46.82887,-117.14836
Chip2_c,46.736343,-117.070387,46.736343,-117.070387
Chip1_c,46.71893,-117.13018,46.71893,-117.13018
Air_c,46.74647,-117.10829,46.74647,-117.10829
Smoot_c,46.83136,-117.23034,46.83136,-117.23034
Clark2_c,46.84351,-117.22016,46.84351,-117.22016
