site,propCan500m,propCan1km,propCan2km,DistanceToCanola,PrairieFragment
Chipman1,0,0,0.033215288,1456.316,Yes
Chipman2,0.324418382,0.583000937,0.430167663,224.074,No
Asotin,0,0,0.005773857,1699.771,NA
Hutchins,0.336764738,0.08419113,0.04747579,13.164,NA
Smoot,0,0,0.21192248,1153.906,Yes
Clark1,0.320743557,0.289305111,0.259496534,11.3915,No
Clark2,0.270260126,0.362003992,0.202185478,158.727,No
Kamiak,0,0,0,2161.769,Yes
Plaza,0,0,0,8099.716,NA
Spangle,0,0,0.017490523,1639.048,NA
